Similarity Score,Original Sentence (Keep),Duplicate Sentence (Remove)
0.8697,mabilis dumating yung parcel at tamang kulay ang pinadala ni seller,mabilis nadeliver yung parcel at maayos naman ang pagkaka pack ni seller
0.8537,mabilis dumating yung parcel at tamang kulay ang pinadala ni seller,agad dumating ang parcel at secured ang packaging ni seller
0.8845,mabilis dumating yung parcel at tamang kulay ang pinadala ni seller,received ko na yung parcel at tamang kulay ang pinadala ni seller
0.8696,mabilis dumating yung parcel at tamang kulay ang pinadala ni seller,mabilis nadeliver ang parcel at maayos ang packaging ni seller
0.8899,mabilis dumating yung parcel at tamang kulay ang pinadala ni seller,dumating na yung item at tamang kulay ang pinadala ni seller
0.8632,mabilis dumating yung parcel at tamang kulay ang pinadala ni seller,mabilis dumating yung parcel at maayos ang packaging ni seller kanina
0.8779,mabilis dumating yung parcel at tamang kulay ang pinadala ni seller,mabilis nadeliver ang parcel at maayos ang pagkaka pack ni seller
0.9046,order uli ako ng ibang design para may pamalit kami araw araw,order ako ulit ng ibang design para may pamalit kami pag nilabhan
0.8634,disappointed ako kasi may punit yung nadeliver na item sakin,disappointed ako kasi may crack yung plate nung nadeliver sakin yung item
0.8607,thank you seller kasi secured ang parcel at walang kahit anong damage,thank you seller kasi complete items at walang damage ang order ko
0.9749,thank you seller kasi secured ang parcel at walang kahit anong damage,thank you seller kasi secured ang packaging at walang kahit anong damage
0.8778,thank you seller kasi secured ang parcel at walang kahit anong damage,thank you seller kasi complete lahat ng order ko at walang damage
0.8607,thank you seller kasi secured ang parcel at walang kahit anong damage,thank you seller kasi complete items at walang damage ang order ko
0.8666,thank you seller kasi secured ang parcel at walang kahit anong damage,thank you seller sa mabilis na shipping at maayos na item walang damage
0.8841,thank you seller kasi secured ang parcel at walang kahit anong damage,thank you seller safe nakarating yung parcel walang damage yung mga items
0.8909,salamat sa mabilis na ship out nakuha ko agad bago mag lunch,salamat sa mabilis na ship out umabot bago ang flight ko
0.8946,salamat sa mabilis na ship out nakuha ko agad bago mag lunch,salamat sa mabilis na ship out nakuha ko bago ang event
0.8938,medyo maikli yung length para sa akin na matangkad,medyo maikli yung length para sa height nung stand ko
0.9060,salamat seller sa mabilis na transaction at maayos na item,salamat seller for the fast ship out at maayos na item
0.8926,salamat seller sa mabilis na transaction at maayos na item,salamat po seller sa mabilis na transaction at ship out
0.9808,salamat seller sa mabilis na transaction at maayos na item,marami salamat seller sa mabilis na transaction at maayos na item
0.8966,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at ship out
0.8737,salamat seller sa mabilis na transaction at maayos na item,thanks seller sa mabilis na transaction at freebie
0.9226,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at complete items
0.9349,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at quality item
0.9453,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at ship out ng item
0.9397,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items
0.9397,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items
0.9226,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at complete items
0.8530,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na delivery at maayos na packaging
0.9147,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at complete items na pinadala
0.9397,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items
0.8747,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at ship out
0.8751,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na delivery at maayos na package
0.8865,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na ship out at quality na item
0.9397,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items
0.9075,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items sa loob
0.8872,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items sa box
0.8714,salamat seller sa mabilis na transaction at maayos na item,salamat po seller sa mabilis na ship out at quality na item na nakuha
0.9397,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items
0.9397,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items
0.8921,salamat seller sa mabilis na transaction at maayos na item,complete na items at salamat seller sa mabilis na transaction
0.8566,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na delivery at complete na order
0.8772,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na ship out at quality na item na to
0.9182,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at complete items na nakuha
0.9453,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at ship out ng item
0.9226,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at complete items
0.9228,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items na nakuha
0.8931,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete na items sa box
0.8872,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete items sa box
0.8931,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na transaction at complete na items sa box
0.8704,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at complete items sa box
0.9020,salamat seller sa mabilis na transaction at maayos na item,salamat seller sa mabilis na shipping at secured na item
0.8710,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na delivery at maayos na packaging ng item ko
0.8773,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na shipping at maayos na item walang damage
0.8541,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na ship out at secure na packaging ng item
0.8545,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at sa pagsagot sa mga tanong
0.9703,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at sa maayos na item na pinadala
0.9703,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at sa maayos na item na pinadala
0.8510,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na shipping at sa maayos na packaging
0.9703,salamat seller sa mabilis na transaction at maayos na item,thank you seller sa mabilis na transaction at sa maayos na item na pinadala
0.9083,sana marami pang ibang designs na available next time,sana marami pang ibang colors na available next time
0.9085,sana marami pang ibang designs na available next time,sana marami pang ibang designs na available next time sa shop nyo
0.8668,mabilis nadeliver at maayos ang pagkakabalot nung item,mabilis dumating yung item at maayos ang packaging
0.8581,mabilis nadeliver at maayos ang pagkakabalot nung item,mabilis nadeliver ang parcel at maayos ang condition nung items
0.9900,thank you seller sa pag send ng picture bago i ship out,thank you seller sa pag send ng picture bago i-ship out
0.8532,thank you seller sa pag send ng picture bago i ship out,thank you seller sa mabilis na ship out umabot bago kami umalis
0.9533,thank you seller sa pag send ng picture bago i ship out,thank you seller sa pag send ng picture bago i-ship out ang item
0.8890,thank you seller sa pag send ng picture bago i ship out,bait ni seller nagsend ng picture bago i-ship out
0.8723,thank you seller sa pag send ng picture bago i ship out,maayos kausap si seller nag send ng picture bago i ship out
0.8571,thank you seller sa pag send ng picture bago i ship out,thank you seller ang bilis ng transaction at nagsend pa ng picture bago ship out yung order
0.9278,thank you seller sa pag send ng picture bago i ship out,thank you seller nagsend ng picture bago ship out kaya sure ako
0.9278,thank you seller sa pag send ng picture bago i ship out,thank you seller nagsend ng picture bago ship out kaya sure ako
0.8811,bilis dumating yung parcel safe na safe yung item sa loob ng box,mabilis dumating yung parcel naka box naman kaya safe yung mga lata sa loob
0.8781,bilis dumating yung parcel safe na safe yung item sa loob ng box,mabilis dumating yung parcel safe na safe yung item naka bubble wrap pa
0.8588,thank you seller kasi complete lahat ng parts at walang kulang na screw,thank you seller kasi complete lahat ng order ko at walang damage
0.8592,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,bilis nadeliver ang parcel at maayos ang bubble wrap
0.8943,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis nadeliver yung parcel at maayos naman ang pagkaka pack ni seller
0.8565,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,agad dumating yung parcel at secured ang packaging ni seller
0.8604,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis nadeliver ang parcel at maayos ang pagkaka bubble wrap
0.8758,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,agad nadeliver ang parcel at secured ang pagkaka pack ni seller
0.8604,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis nadeliver ang parcel at maayos ang pagkaka bubble wrap
0.9613,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,agad dumating ang parcel at maayos ang pagkaka bubble wrap ni seller
0.8506,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis nadeliver ang parcel at secured ang packaging ni seller
0.8852,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis nadeliver ang parcel at maayos ang packaging ni seller
0.9381,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis dumating ang parcel at maayos ang pagkaka bubble wrap ni seller
0.8647,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis dumating yung parcel at maayos ang packaging ni seller kanina
0.8809,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis nadeliver ang parcel at maayos ang packaging ni seller kanina
0.8872,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis nadeliver ang parcel at maayos ang pagkaka pack ni seller
0.8761,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,nadeliver na yung parcel at maayos naman ang packaging ni seller
0.8803,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis naship ni seller at maayos ang pagkakabalot naka bubble wrap pa
0.8563,nadeliver agad yung parcel at maayos ang bubble wrap ni seller,mabilis naship ni seller at maayos ang packaging naka bubble wrap lahat ng ilaw
0.8762,ganda ng build quality nung casing hindi mukhang cheap na plastic,ganda nung build quality hindi sya mukhang madaling mabasag na plastic
0.8636,ganda ng build quality nung casing hindi mukhang cheap na plastic,build quality is okay hindi sya mukhang cheap na plastic
0.8532,sulit sa price nya kesa bumili ng sobrang mahal na original brand,worth it ang price nya kesa bumili ng branded na sobrang mahal
0.8527,mabilis dumating yung order at wala syang kahit anong gasgas nung binuksan,mabilis dumating yung parcel at walang kahit anong dumi nung binuksan
0.8823,isa pang budol find kasi napaka mura nya kesa sa mall price,another budol finds dahil napaka mura lang nito dito sa shop
0.8875,thank you so much seller for the fast transaction at quality item,thank you so much seller for the fast shipping and quality product
0.8953,thank you so much seller for the fast transaction at quality item,salamat seller for the fast ship out at quality na item na to
0.9127,thank you so much seller for the fast transaction at quality item,thank you seller sa mabilis na transaction at quality item
0.8863,thank you so much seller for the fast transaction at quality item,salamat po seller for the fast shipping at quality na product
0.8853,medyo manipis yung material pero keri na for the price na binayad ko,manipis lang pala yung material pero keri na for the price
0.8729,mabilis dumating yung parcel at walang damage nung binuksan ko yung plastic,mabilis dumating yung parcel at walang kahit anong dumi nung binuksan
0.8679,manipis yung wire sa gilid baka madaling maputol pag laging tinitupi,manipis yung tahi sa gilid baka madaling matastas pag hinatak
0.8700,medyo amoy rubber nung binuksan pero nawala din nung pinahanginan ko,amoy goma nung una kong binuksan pero nawala naman nung hinugasan ko
0.8626,ayos yung grip hindi na nadudulas yung kamay ko habang nagdadrive,okay naman yung grip hindi madulas sa kamay kahit pasmado ako minsan
0.8602,ayos yung packaging at walang kahit anong deform nung dumating yung item,ayos yung packaging at walang kahit anong damage nung tinanggap ko item
0.8553,ayos yung packaging at walang kahit anong deform nung dumating yung item,maayos ang packaging at walang yupi yung bakal nung item
0.9104,mabilis dumating yung order ko at maayos ang pagkakabalot nung box,mabilis dumating yung order ko at maayos ang packaging
0.8601,presyong sulit compare sa mga nakikita ko sa malls na mahal,sulit ang price nito compare sa mga nasa mall na mahal
0.9305,presyong pang masa pero ang performance ay pang premium talaga,mura lang pero ang performance ay pang premium talaga
0.8534,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang pro talaga
0.8509,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang premium
0.8557,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang premium talaga promise
0.8594,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang premium talaga ang dating
0.8917,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang premium talaga
0.8688,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang performance ay pang heavy duty talaga
0.8594,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang premium talaga ang dating
0.8594,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang premium talaga ang dating
0.8557,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang premium talaga promise
0.8688,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang performance ay pang heavy duty talaga
0.8557,presyong pang masa pero ang performance ay pang premium talaga,presyong pang masa pero ang quality ay pang premium talaga promise
0.9105,easy to clean lang sya kasi pwedeng hugasan ng sabon at tubig,easy to clean lang sya wash lang with soap and water
0.9004,easy to clean lang sya kasi pwedeng hugasan ng sabon at tubig,easy to clean hugasan lang ng tubig at sabon okay na ulit
0.8550,bilis ang ship out at secured ang item with bubble wrap inside,secured ang item sa bubble wrap at mabilis nadeliver yung parcel
0.8592,bilis ang ship out at secured ang item with bubble wrap inside,mabilis nadeliver ang parcel at secured ang item sa bubble wrap
0.8651,keri lang yung lambot nung material hindi sya matigas na plastic,matibay yung material hindi sya yung malutong na plastic na madaling mabali
0.8848,nadeliver agad yung parcel in 2 days lang received ko na,nadeliver agad ang order ko in two days lang nakuha ko na
0.8700,nadeliver agad yung parcel in 2 days lang received ko na,bilis mag ship out nakuha ko agad yung parcel in two days
0.8848,nadeliver agad yung parcel in 2 days lang received ko na,recieved agad yung order ko in 2 days lang nakuha ko na agad
0.9802,nadeliver agad yung parcel in 2 days lang received ko na,nadeliver ang parcel within 2 days lang received ko na agad
0.8906,nadeliver agad yung parcel in 2 days lang received ko na,nadeliver yung order within two days lang nakuha ko na agad
0.8515,nadeliver agad yung parcel in 2 days lang received ko na,received ko na yung item within two days lang ang bilis
0.8596,nadeliver agad yung parcel in 2 days lang received ko na,agad nadeliver ang parcel within two days lang bilis talaga
0.8853,nadeliver agad yung parcel in 2 days lang received ko na,mabilis dumating yung parcel 2 days lang nasa akin na agad yung item
0.8579,maganda yung color at mukhang tatagal naman sya kahit laging basa,ganda nung color at mukhang matibay naman ang pagkakatahi
0.9259,maganda yung color at mukhang tatagal naman sya kahit laging basa,ganda nung color at mukhang tatagal naman sya kahit laging ginagamit
0.9641,order uli ako para sa kapatid ko kasi nagustuhan nya din nung tinry nya,order uli ako para sa kapatid ko kasi nagustuhan nya nung tinesting
0.9594,packaging is good at walang damage nung tinanggap ko yung item,ayos yung packaging at walang kahit anong damage nung tinanggap ko item
0.9717,packaging is good at walang damage nung tinanggap ko yung item,packaging is very good at walang damage nung tinanggap ko yung item
0.8659,packaging is good at walang damage nung tinanggap ko yung item,maayos yung pagkaka pack kaya walang damage nung nakuha ko item
0.8789,packaging is good at walang damage nung tinanggap ko yung item,maayos ang packaging at nadeliver naman ang item na walang damage
0.8789,packaging is good at walang damage nung tinanggap ko yung item,maayos ang packaging at nadeliver naman ang item na walang damage
0.8789,packaging is good at walang damage nung tinanggap ko yung item,maayos ang packaging at nadeliver naman ang item na walang damage
0.8805,packaging is good at walang damage nung tinanggap ko yung item,maayos ang packaging at nadeliver naman ang item na walang kahit anong damage
0.8845,packaging is good at walang damage nung tinanggap ko yung item,maayos ang packaging at nadeliver nman ang item na walang damage
0.8847,packaging is good at walang damage nung tinanggap ko yung item,maayos ang packaging at nadeliver nman ang item na walang kahit any damage
0.8600,packaging is good at walang damage nung tinanggap ko yung item,okay naman yung packaging secured na secured yung item at walang damage nung binuksan ko kanina
0.8553,packaging is good at walang damage nung tinanggap ko yung item,maayos ang packaging at walang sira nung nareceive ko salamat seller
0.8722,packaging is good at walang damage nung tinanggap ko yung item,okay naman ang packaging secure na secure at walang damage ang item
0.8596,packaging is good at walang damage nung tinanggap ko yung item,excellent quality well packaged at walang damage nung nareceive ko yung item
0.9549,dumating ang item earlier than expected kaya nagamit ko na agad,dumating yung item earlier than expected kaya nakapaglaba agad ako
0.9357,dumating ang item earlier than expected kaya nagamit ko na agad,nadeliver yung item earlier than expected kaya nagamit ko na agad
0.8624,dumating ang item earlier than expected kaya nagamit ko na agad,agad nadeliver ang item earlier than expected kaya nakapag repot agad
0.8568,dumating ang item earlier than expected kaya nagamit ko na agad,arrived earlier than expected kaya nagamit ko na agad sa trabaho
0.8535,dumating ang item earlier than expected kaya nagamit ko na agad,nadeliver yung order earlier than expected kaya nagamit ko agad
0.8929,worth the price kasi matagal bago maubos yung isang tub nito,worth the price dahil napaka tagal bago maubos yung isang jar
0.8839,received on time at secured yung item sa loob ng bubble wrap,item received at secured naman yung pagkaka bubble wrap sa box
0.9607,received on time at secured yung item sa loob ng bubble wrap,received on time at secured ang pagkaka bubble wrap nung item
0.9607,received on time at secured yung item sa loob ng bubble wrap,received on time at secured ang pagkaka bubble wrap nung item
0.8532,received on time at secured yung item sa loob ng bubble wrap,mabilis nadeliver ang parcel at secured ang item sa bubble wrap
0.8547,received on time at secured yung item sa loob ng bubble wrap,maayos yung packaging at secured ang item sa loob nung bubble wrap
0.8624,received on time at secured yung item sa loob ng bubble wrap,maayos ang packaging at secured ang item sa loob nung bubble wrap
0.9090,bitin yung kapal nung tela compare sa expectation ko sa picture,mejo manipis lang yung tela compare sa expectation ko sa picture
0.8656,mabilis nadeliver yung order ko at tamang variation ang pinadala,tanggap ko na yung order at tamang variation ang pinadala sakin
0.8860,mabilis nadeliver yung order ko at tamang variation ang pinadala,received ko na yung order at tamang variation ang pinadala sakin
0.8913,mabilis nadeliver yung order ko at tamang variation ang pinadala,nakuha ko na yung order at tamang variation ang pinadala
0.8890,budol find to para sa mga mahilig mag staycation sa bahay lang,budol finds to para sa mga gustong mag ipon sa bahay lang
0.8513,nakuha ko na yung parcel at wala syang kahit anong butas or dumi,received ko na yung parcel at walang tumapon na ink
0.8505,order ako uli para sa asawa ko para twinning kami ng robe,order ako ulit para naman sa gamit nung asawa ko
0.8616,akala ko malaki yung bote pero maliit lang pala,maliit lng pala yung bottle akala ko malaki
0.8799,salamat seller kasi complete lahat ng order ko,thank you seller kasi complete lahat ng order ko at walang damage
0.9331,order ako ulit pag naubos na tong batch na to,uulit ako mag order dito pag naubos na tong batch na to
0.8729,order ako ulit pag naubos na tong batch na to,uulitin ko mag order nito pag naubos na tong isang batch na nadeliver sa akin
0.9057,safe ang packaging kasi naka bubble wrap ng makapal,safe na safe ang parcel naka bubble wrap ng makapal
0.8874,safe ang packaging kasi naka bubble wrap ng makapal,secure na secure ang packaging naka bubble wrap ng makapal kaya walang yupi yung box
0.8501,safe ang packaging kasi naka bubble wrap ng makapal,secure na secure ang packaging naka tape ang takip at bubble wrap ng makapal
0.8785,nadeliver agad yung item kahit galing pa sa malayo,nadeliver agad yung item kahit galing pa sa malayo na warehouse
0.8627,nakuha ko na ang order at walang kahit anong damage,nakuha ko na ang order at walang kahit anong crack nung dumating
0.8918,nakuha ko na ang order at walang kahit anong damage,nakuha ko na yung order at walang kahit anong damage nung binuksan ko
0.9490,disappointed kasi may butas yung nadeliver sakin,disappointed kasi may butas yung tela nung nadeliver sakin
0.8834,disappointed kasi may butas yung nadeliver sakin,disappointed ako kasi may maliit na butas nung nadeliver sakin
0.9629,nadeliver yung parcel within three days lang ang bilis,nadeliver yung parcel within three days lang bilis talaga ng shipping
0.9677,nadeliver yung parcel within three days lang ang bilis,nadeliver yung parcel within three days lang bilis talaga
0.8586,mabilis dumating yung parcel at tamang gauge ang pinadala,mabilis dumating ang parcel at maayos ang pagkakabalot
0.8597,mabilis dumating yung parcel at tamang gauge ang pinadala,arrived na yung parcel at tama yung gauge na pinadala ni shop
0.8511,nakuha na ang order at maayos ang packaging ni seller,mabilis nadeliver yung parcel at maayos naman ang pagkaka pack ni seller
0.8694,nakuha na ang order at maayos ang packaging ni seller,agad dumating yung parcel at secured ang packaging ni seller
0.9013,nakuha na ang order at maayos ang packaging ni seller,nareceive ko na yung order at maayos naman ang packaging ni seller
0.8777,nakuha na ang order at maayos ang packaging ni seller,agad dumating ang parcel at secured ang packaging ni seller
0.8552,nakuha na ang order at maayos ang packaging ni seller,agad nadeliver ang parcel at secured ang pagkaka pack ni seller
0.9082,nakuha na ang order at maayos ang packaging ni seller,received ko na yung order at maayos ang packaging ni seller sa item
0.8744,nakuha na ang order at maayos ang packaging ni seller,received na ang parcel at napaka secured ng packaging ni seller
0.8606,nakuha na ang order at maayos ang packaging ni seller,mabilis nadeliver ang parcel at secured ang packaging ni seller
0.8627,nakuha na ang order at maayos ang packaging ni seller,safe na nadeliver ang parcel at secured ang packaging ni seller
0.8806,nakuha na ang order at maayos ang packaging ni seller,mabilis nadeliver ang parcel at maayos ang packaging ni seller
0.8683,nakuha na ang order at maayos ang packaging ni seller,mabilis nadeliver ang parcel at maayos ang pagkaka pack ni seller
0.8616,nakuha na ang order at maayos ang packaging ni seller,nakuha na ang order at tamang design ang pinadala ni seller sakin
0.8822,nakuha na ang order at maayos ang packaging ni seller,nadeliver na ang item at maayos naman ang pagkaka pack ni seller
0.9011,nakuha na ang order at maayos ang packaging ni seller,nadeliver na yung parcel at maayos naman ang packaging ni seller
0.8760,nakuha na ang order at maayos ang packaging ni seller,received ko na yung parcel at maayos naman ang pagkaka pack ni seller
0.8698,nakuha na ang order at maayos ang packaging ni seller,order ko na yung parcel at maayos naman ang pagkaka pack ni seller
0.8815,nakuha na ang order at maayos ang packaging ni seller,dumating na yung order kahapon at maayos naman ang packaging ni seller
0.8717,nadeliver yung item sa tamang oras at walang damage,dumating yung order sa tamang oras at walang damage
0.8746,super ganda nung color pink na nakuha ko napaka aesthetic,ganda nung color pink na nakuha ko napaka aesthetic tignan sa shelf
0.8663,sulit na budol to kasi ang daming laman sa isang pack,sulit na budol to kasi ang daming refill na kasama sa isang pack
0.8811,sulit na budol to kasi ang daming laman sa isang pack,sulit na budol to ang daming laman sa isang pack matagal maubos
0.8517,sulit na budol to kasi ang daming laman sa isang pack,sulit na sulit sa presyo ang dami na palang laman sa isang pack nito
0.8541,thank you seller complete ang items at walang damage ang foil,thank you seller kasi complete items at walang damage ang order ko
0.8541,thank you seller complete ang items at walang damage ang foil,thank you seller kasi complete items at walang damage ang order ko
0.8550,quality nung foil okay naman hindi sya madaling mapunit,okay yung quality nung tela hindi sya madaling mag himulmol agad
0.8599,secured ang bubble wrap sa labas at mabilis dumating ang parcel,secured ang item sa bubble wrap at mabilis nadeliver yung parcel
0.8553,secured ang bubble wrap sa labas at mabilis dumating ang parcel,bilis nadeliver ang parcel at maayos ang bubble wrap
0.8676,secured ang bubble wrap sa labas at mabilis dumating ang parcel,mabilis nadeliver ang parcel at balot na balot ng bubble wrap
0.8787,secured ang bubble wrap sa labas at mabilis dumating ang parcel,mabilis nadeliver ang parcel at maayos ang pagkaka bubble wrap
0.8787,secured ang bubble wrap sa labas at mabilis dumating ang parcel,mabilis nadeliver ang parcel at maayos ang pagkaka bubble wrap
0.8566,secured ang bubble wrap sa labas at mabilis dumating ang parcel,mabilis nadeliver ang parcel at balot na balot sa bubble wrap
0.9059,secured ang bubble wrap sa labas at mabilis dumating ang parcel,mabilis nadeliver ang parcel at secured ang bubble wrap
0.8749,secured ang bubble wrap sa labas at mabilis dumating ang parcel,mabilis dumating ang parcel at maayos ang pagkaka bubble wrap nito
0.8927,worth it ang price kasi makapal at hindi parang papel lang,worth it ang price nya dahil makapal ang fabric at hindi basta mapunit
0.8820,nakuha na yung parcel at maayos ang pagkakabalot sa box,received na ang parcel at maayos ang pagkaka bubble wrap nito
0.8611,nakuha na yung parcel at maayos ang pagkakabalot sa box,nakarating na yung parcel at maayos ang pagkaka pack ni shop
0.8626,nakuha na yung parcel at maayos ang pagkakabalot sa box,package received nadeliver yung parcel at maayos naman ang pagkaka bubble wrap
0.9045,nakuha na yung parcel at maayos ang pagkakabalot sa box,nakuha na yung parcel at maayos naman ang pagkaka sealed
0.8570,thank you seller sa maayos na packaging at secured yung items,thank you seller sa mabilis na ship out at secured packaging
0.8756,thank you seller sa maayos na packaging at secured yung items,thank you seller sa mabilis na delivery at maayos na packaging
0.8525,thank you seller sa maayos na packaging at secured yung items,salamat seller sa mabilis na delivery at maayos na package
0.8623,thank you seller sa maayos na packaging at secured yung items,thank you seller sa mabilis na shipping at secured na packaging nito
0.8661,thank you seller sa maayos na packaging at secured yung items,salamat seller sa mabilis na shipping at secured na item
0.8708,thank you seller sa maayos na packaging at secured yung items,thank you seller sa mabilis na delivery at maayos na packaging ng item ko
0.8922,thank you seller sa maayos na packaging at secured yung items,thank you seller sa mabilis na ship out at secure na packaging ng item
0.8736,thank you seller sa maayos na packaging at secured yung items,thank you seller sa mabilis na shipping at sa maayos na packaging
0.8893,safe na nadeliver ang parcel at walang damage nung binuksan,secured ang parcel nung dumating at walang kahit anong damage
0.8502,safe na nadeliver ang parcel at walang damage nung binuksan,maayos ang packaging at nadeliver naman ang item na walang damage
0.8502,safe na nadeliver ang parcel at walang damage nung binuksan,maayos ang packaging at nadeliver naman ang item na walang damage
0.8665,safe na nadeliver ang parcel at walang damage nung binuksan,secured ang packaging at nadeliver naman ang item na walang kahit anong damage
0.8502,safe na nadeliver ang parcel at walang damage nung binuksan,maayos ang packaging at nadeliver naman ang item na walang damage
0.8575,safe na nadeliver ang parcel at walang damage nung binuksan,secured ang packaging at nadeliver naman ang item na walang damage
0.8587,safe na nadeliver ang parcel at walang damage nung binuksan,maayos ang packaging at nadeliver naman ang item na walang kahit anong damage
0.8501,safe na nadeliver ang parcel at walang damage nung binuksan,maayos ang packaging at nadeliver nman ang item na walang kahit any damage
0.8955,grabe sobrang mahal ang shipping fee pero worth it naman ang quality,mejo mahal lang yung shipping fee pero keri na dahil sa quality
0.9478,grabe sobrang mahal ang shipping fee pero worth it naman ang quality,medyo mahal ang shipping fee pero worth it naman sa quality
0.9140,grabe sobrang mahal ang shipping fee pero worth it naman ang quality,mahal yung shipping fee pero okay lang kasi quality naman
0.8510,grabe sobrang mahal ang shipping fee pero worth it naman ang quality,medyo mahal yung shipping fee dahil malaki yung box pero worth it naman
0.8681,grabe sobrang mahal ang shipping fee pero worth it naman ang quality,medyo mahal yung shipping fee dahil malaki yung item pero worth it naman
0.9036,grabe sobrang mahal ang shipping fee pero worth it naman ang quality,medyo mahal ang shipping fee pero okay na rin maganda naman quality
0.8522,liwanag nung sticks lalo na yung green at blue na colors,malakas ang brightness nung mga leds lalo na yung white at blue
0.8536,ayos yung quality hindi sya tumatagas yung liquid sa loob,okay yung quality nung liquid hindi sya namumuo sa dispenser
0.8602,bakit parang luma na yung nakuha ko may mga dumi sa side,anyare bakit parang luma na yung nakuha ko may dumi sa dulo
0.9816,worth it ang price nya kesa bumili sa mall na sobrang mahal,worth it ang price nya kesa bumili sa mall na mahal
0.9847,worth it ang price nya kesa bumili sa mall na sobrang mahal,worth it ang price nya kesa bumili sa mall na sobrang mahal talaga
0.8505,worth it ang price nya kesa bumili sa mall na sobrang mahal,worth it ang price nya kesa bumili sa hardware na sobrang mahal
